ts,cpu_percent,rss_mb,power_w,energy_j_total
1756652388.8089006,1.00,465.72,17.897,2112.482765
1756652389.8088963,0.00,465.72,18.199,2130.681256
1756652390.808883,0.00,465.72,17.953,2148.633636
1756652391.808933,0.00,465.72,18.807,2167.441684
1756652392.8086839,0.00,465.72,20.978,2188.414019
1756652393.8093417,0.00,465.72,20.493,2208.920099
1756652394.8090708,0.00,465.72,17.880,2226.794938
1756652395.808888,0.00,465.72,17.970,2244.761431
1756652396.8087747,0.00,465.72,18.716,2263.475490
1756652397.8089283,0.00,465.72,17.708,2281.186412
